Name,Date,Day,Friends,Group,Notes,Rating,Type,URL,Weekday
Gonpachi Shibuya,"November 22, 2025 8:00 PM (GMT)",Day 9,"Henry, James, Ken, Nanako, Nicole, Phil",Tokyo,"Izakaya feast with yakitori, sushi rolls, and sake flights inspired by Kill Bill vibes to cap the day. Book private tatami room for 6 people. Set menu around ¥5,000pp plus vegetarian sides for Ken",4.1,"Food, Needs Booking","Website: https://gonpachi.jp/shibuya/
Maps: https://maps.google.com/?cid=5535728105966142773",Saturday
teamLab Planets,"November 23, 2025 9:00 AM (GMT)",Day 10,"Henry, Ken, Nanako, Nicole",Tokyo,"Barefoot, multi-sensory art spaces with mirrored water rooms - perfect for collaborative photos. Book 9 AM slot (¥3,800pp). Bring small towel for water installations. Coordinate matching outfits for reflective shots",4.5,"Attractions, Needs Booking","Website: https://www.teamlab.art/jp/e/planets/
Maps: https://maps.google.com/?cid=7918542870314997282",Sunday
Pokémon Café,,,,Tokyo,"Adorable character plates, latte art, and special edition merch with tableside Pikachu show. Book exactly 31 days ahead at 6 PM JST. Takashimaya 5F. ¥3,000pp. Arrive 15min early",4.2,"Food, Needs Booking","Website: https://www.pokemon-cafe.jp/ja/cafe/
Maps: https://maps.google.com/?cid=4725603843889793061",Monday
MIMARU Tokyo Shinjuku WEST,"November 23, 2025 4:00 PM (GMT)",Day 10,"Henry, Ken, Nanako, Nicole",Tokyo,"Apartment-style suite with tatami bunk beds, kitchen for snacks, and board games for a nostalgic sleepover. Request Pokemon room if available. 2-bedroom suite with kitchen and projector for Mario Kart tournament. Nanako logs into Tuesday meetings while Henry pack and coordinate Osaka evening. Use MIMARU co-working nook. Late checkout to noon. Ship Tokyo purchases via Yamato",4.7,Accommodation,"Website: https://mimaruhotels.com/ja/hotel/shinjuku-west/?utm_source=google&utm_medium=map&utm_campaign=shinjuku
Maps: https://maps.google.com/?cid=15607418906888136225",Sunday
Karaoke Kan Shibuya,"November 22, 2025 10:00 AM (GMT)",Day 9,"Henry, Ken, Nanako, Nicole",Tokyo,"Sing through anime themes, K-pop, and nostalgic hits with drink package and custom cake delivery. Reserve party room with neon lighting. Book 3-hour plan with unlimited soft drinks plus two cocktails per person. Queue duet playlist curated earlier in Spotify",3.5,"Needs Booking, Other","Website: https://karaokekan.jp/shop/detail/30
Maps: https://maps.google.com/?cid=7596898140513591090",Saturday
Tokyo DisneySea,"November 24, 2025 8:00 AM (GMT)",Day 11,"Henry, Ken, Nanako, Nicole",Tokyo,"Soar on Soaring, dive into Journey to the Center, and catch the evening Harbor of Dreams show with Christmas overlays. Book 1-day passport (¥10,900pp) plus Premier Access. Target: Soaring, Journey to Center, Harbor Dreams show",4.6,"Attractions, Needs Booking","Website: https://www.tokyodisneyresort.jp/tds/
Maps: https://maps.google.com/?cid=4703760703938833701",Monday
Disney Hotel,"November 24, 2025 2:00 PM (GMT)",Day 11,"Henry, Ken, Nanako, Nicole",Tokyo,Afternoon tea at Hyperion Lounge to recharge mid-park with seasonal desserts and photo ops. Book 2 PM seating via Disney app. Note birthday celebration. Collect exclusive hotel pin for keepsakes,4.5,"Food, Needs Booking","Website: https://www.tokyodisneyresort.jp/hotel/dah/
Maps: https://maps.google.com/?cid=6044710685353048397",Monday
Nozomi Express,,,,Tokyo,Board Nozomi 273 back to Shin-Osaka with Tokyo Station bento feast and birthday countdown playlist planning. Depart Tokyo Station (arrive 22:13). Reserve seats in car 13 for luggage space. Use smartEX app,4.3,"Needs Booking, Travel","Website:
https://www.tokyoinfo.com/

Maps:
https://maps.google.com/?cid=11114180190203192",
Osaka Museum of Housing and Living,"November 15, 2025 4:30 PM (GMT)",Day 2,"Henry, Nanako",Osaka,"Wander Edo-period Osaka streets recreated indoors—rent yukata for photos and learn urban history. Subway to Tenjinbashisuji 6-chome. Entry ¥600. Book online timed slots. Optional kimono rental ¥500 for authentic photos",4.2,"Attractions, Needs Booking","Website:
https://www.osaka-angenet.jp/konjyakukan/

Maps:
https://maps.google.com/?cid=10674462834411964257",Saturday
Torame Yokocho,"November 15, 2025 8:00 PM (GMT)",Day 2,"Henry, Nanako",Osaka,"Graze across Osaka comfort classics—takoyaki, kushikatsu, craft beer—under a retro neon arcade. Located in Namba under retro neon arcade. Mix-and-match small plates. ¥4,000 total. Arrive early for communal table",4,Food,"Website: http://www.虎目横丁.com/
Maps: https://maps.google.com/?cid=6273016228902860999",Saturday
Kobe Nunobiki Herb Gardens,"November 17, 2025 10:30 AM (GMT)",Day 4,"Henry, Nanako",Osaka,"Glide up the ropeway for panoramic views and wander fragrant greenhouses with seasonal blooms. JR rapid to Shin-Kobe. Ropeway combo ticket ¥1,800 for panoramic views plus greenhouse exploration. Try herb soft serve at summit cafe",4.5,"Attractions, Needs Booking","Website: https://www.kobeherb.com/
Maps: https://maps.google.com/?cid=9393563791333494613",Monday
Steakland Kobe,"November 17, 2025 1:00 PM (GMT)",Day 4,"Henry, Nanako",Osaka,"Classic teppan Kobe beef lunch with live chef performance—best value wagyu feast. 10min walk from Sannomiya. Lunch set ¥3,480pp includes soup plus salad plus rice plus dessert. Call morning-of for counter seats",4,"Food, Needs Booking","Website:
https://steakland-kobe.jp/

Maps:
https://maps.google.com/?cid=4268193972152431843",Monday
Arima Onsen Taiko-no-yu,"November 17, 2025 3:30 PM (GMT)",Day 4,"Henry, Nanako",Osaka,"Soak in gold and silver springs, explore cave baths, and book a private relaxation room. Japan's most famous hot spring! Hankyu Bus from Sannomiya. Gold plus silver springs plus cave baths. Entry ¥2,750. Reserve private tatami lounge",3.7,"Attractions, Needs Booking","Website: http://www.taikounoyu.com/
Maps: https://maps.google.com/?cid=16499097178660564879",Monday
Kobe Harborland,"November 17, 2025 7:00 PM (GMT)",Day 4,"Henry, Nanako",Osaka,"Capture mosaic lights, ride the Ferris wheel if energy allows, and share harbourfront desserts. JR to Kobe Station plus 5min walk. Check Luminarie winter illumination schedule. Try Godiva hot chocolate",4.2,Attractions,"Website: https://www.harborland.co.jp/
Maps: https://maps.google.com/?cid=12749193704110128037",Monday
Universal Studios Japan,"November 18, 2025 7:30 AM (GMT)",Day 5,"Henry, Nanako",Osaka,"Hit Super Nintendo World at rope drop, chase Jujutsu Kaisen XR ride, and close with Night Parade. Book USJ tickets plus Express Pass 7 three months ahead. Early entry at 7:30 AM. Priorities: Mario Kart, Yoshi's Adventure, Night Parade",4.5,"Attractions, Needs Booking","Website: https://www.usj.co.jp/web/ja/jp
Maps: https://maps.google.com/?cid=3892796888607511210",Tuesday
W Osaka,"November 28, 2025 2:00 PM (GMT)",Day 15,"Henry, Ken, Nicole, Osaka",Osaka,"Secure a Marvelous Suite for party-ready lighting, stash decorations, and arrange welcome amenities. Check in early via Bonvoy chat. Request high-floor city view. Set up Polaroid guest book and balloons before guests arrive",4.2,Accommodation,"Website:
https://www.marriott.com/en-us/hotels/osaow-w-osaka/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0

Maps:
https://maps.google.com/?cid=2705746213831136029",Friday
MYDO Teppanyaki,"November 28, 2025 7:00 PM (GMT)",Day 15,"Henry, Ken, Nicole, Osaka",Osaka,"Table-side wagyu, flambéed seafood, and custom dessert with dual birthday shout-outs for you and Ken. Private teppan counter inside W Osaka. Pre-order cake and champagne tower. Play curated playlist through sound system",4.3,"Food, Needs Booking","Website: https://mydo.wosaka.com/
Maps: https://maps.google.com/?cid=4258381221987283802",Friday
Karaoke Kan Shinsaibashi,"November 28, 2025 9:00 PM (GMT)",Day 15,"Henry, Ken, Nanako, Nicole, Osaka",Osaka,"Private neon room with unlimited drinks, photobooth props, and birthday slideshow during choruses. Book VIP room with open bar via Jalan Net. Bring HDMI cable for slideshow. Surprise Ken with co-birthday montage",3.6,"Needs Booking, Other","Website: https://karaokekan.jp/shop/detail/182
Maps: https://maps.google.com/?cid=2046130830251139311",Friday
Bar Nayuta,"November 28, 2025 11:45 PM (GMT)",Day 15,"Henry, Ken, Nicole, Osaka",Osaka,"Rooftop mixology featuring yuzu gin fizzes and dessert cocktails overlooking Osaka Castle lights. Book 11:45 PM slot. Request custom drink named ""Japlan Nova"". Dress smart-casual. Bring small gifts for bartenders",4.7,"Food, Needs Booking","Website: http://bar-nayuta.com/
Maps: https://maps.google.com/?cid=8702241179377055165",Friday
Eikan-dō Zenrin-ji,,,"Henry, Ken, Nicole",Kyoto,"Marvel at fiery maple reflections in the Hojo Pond and climb the Tahoto pagoda for sweeping views. Keihan from Yodoyabashi to Jingū-Marutamachi then taxi. Entry ¥1,000. Buy advance tickets online to skip queue. Shoot birthday-week group photo on the Hojo Bridge",4.6,"Attractions, Needs Booking","Website: http://www.eikando.or.jp/
Maps: https://maps.google.com/?cid=2060121541776026964",
Okutan Nanzenji,,,,Kyoto,"Traditional tofu kaiseki in a tatami room overlooking a moss garden—warming and serene. Reserve tatami room. Lunch course ¥3,800 pp. Remove shoes at entry. Call ahead and mention vegetarian-friendly preferences",4.1,"Food, Needs Booking",Maps: https://maps.google.com/?cid=737529368844235860,Thursday
Tōfuku-ji,,,,Kyoto,"Stroll across Tsutenkyo Bridge for jaw-dropping maple valley views and temple gardens. Keihan to Tofukuji Station. Timed entry queue moves quickly (~20 min). Purchase timed tickets online if available, otherwise buy on arrival (¥1,000)",4.5,Attractions,"Website: https://tofukuji.jp/
Maps: https://maps.google.com/?cid=7117677159742707137",
Kōdai-ji,,,,Kyoto,Nighttime light-up across Zen gardens and bamboo grove with mirror pond projections. ¥1000 entry. Ends 21:30. Combo ticket with Entoku-in available,4.4,Attractions,"Website: https://www.kodaiji.com/
Maps: https://maps.google.com/?cid=2616919559259342976",
Rinku Premium Outlets,"November 29, 2025 10:00 AM (GMT)",Day 16,"Henry, Nanako",Osaka,"Outlet hop for last-minute gifts—Onitsuka Tiger, Coach, Nintendo Tokyo satellite—and sunset pier views. JR rapid or Nankai to Rinku-Town. Use hands-free delivery counter for extra bags. Download coupon QR for extra 10% savings",4.1,Shopping,"Website:
https://www.premiumoutlets.co.jp/rinku/

Maps:
https://maps.google.com/?cid=14141131390446530690",Saturday
Kansai International Airport 23:10 KIX → DXB (EK317),"November 30, 2025 6:00 PM (GMT)",Day 17,"Henry, Nanako",Osaka,"Check in early, enjoy KIX Lounge showers, and savour final takoyaki before overnight flight home. Hotel limo or Nankai Rapi:t to KIX. Arrive 3 hours pre-flight for tax-free refund pickup. Confirm airline upgrade waitlist. Touch down, breeze through Smart Immigration, and pick up ICOCA & Haruka passes for Kansai adventures. Land at Terminal 1. Use Smart Immigration if available. Pick up ICOCA & Haruka combo at JR office (¥3,570)",,Travel,Maps: https://maps.google.com/?cid=12104414214768042484,Sunday
Donguri Republic,"November 28, 2025",Day 15,"Henry, Osaka",Osaka,"Pop into the Ghibli flagship for Totoro-themed homeware and party décor inspiration. Inside Shinsaibashi PARCO B1. Use Tax-Free counter for larger buys. Pick up soot sprite lanterns for birthday suite styling. Studio Ghibli merchandise. 10 AM-8 PM. Totoro and other character goods. Tax-free available",4.5,Shopping,"Website:
https://benelic.com/donguri/

Maps:
https://maps.google.com/?cid=3140939674230622171",Friday
& COFFEE MAISON,"November 15, 2025 11:30 AM (GMT)",Day 2,"Henry, Nanako",Osaka,Refuel with soufflé pancakes and seasonal fruit sodas before heading north. 12min walk from castle. Arrive at opening to skip weekend queues. Soufflé pancakes plus seasonal fruit sodas. Book online waiting list,3.8,Food,"Website:
https://maisonkitsune.com/jp/

Maps:
https://maps.google.com/?cid=17824513151163237395",Saturday
Grand Front Osaka,"November 28, 2025",Day 15,"Henry, Phil",Osaka,"Sample patisserie, sake, and wagashi in Umekita Cellar while curating birthday dessert table. Walk from Takamura via Umeda Sky walkway. Use lockers for purchases. Grab PABLO mini cheesecakes for hotel snack stash",4.1,Shopping,Maps: https://maps.google.com/?cid=10730928324569822745,Friday
HEP FIVE Ferris Wheel,"November 28, 2025",Day 15,"Henry, Phil",Osaka,Red Ferris wheel in Umeda offering crimson gondola views sweeping over Osaka before dusk. Ride from HEP FIVE 7F. 11 AM-10:45 PM. ¥600 entry. Use Amazing Pass if purchased. Aim pre-sunset for short queue. Snap timelapse. Great city views and photos,4.4,Attractions,"Website: https://www.hepfive.jp/ferriswheel
Maps: https://maps.google.com/?cid=12356348084046776944",Friday
Human Beings Everybody Noodles,"November 17, 2025 8:15 PM (GMT)",Day 4,"Henry, Nanako",Osaka,Slurp creative ramen bowls in the indie Nakazakicho district after skyline views. 8min walk from Umeda Sky Building. Tiny creative ramen shop - expect ~20min queue. No reservations. Yuzu shio ramen,4.2,Food,"Website:
http://www.jinrui-minamenrui.com/

Maps:
https://maps.google.com/?cid=6418836266917594457",Monday
Bear Paw Cafe,"November 16, 2025 3:30 PM (GMT)",Day 3,"Henry, Nanako",Osaka,"Swing by the kindness-powered Bear Paw Cafe for latte art and relaxing vibes. 10min walk from T-SITE. Exquisite latte art plus relaxing atmosphere. Cashless payment. Limited seating - consider takeout. Hours: Sun, Tues, Wed, Thurs: 11 AM-6:30 PM. Fri, Sat: 11 AM-7:30 PM. Mon: Closed. Credit cards accepted",4.5,Food,"Website: https://www.kumanote-cafe.com/
Maps: https://maps.google.com/?cid=16452992468120160436",Sunday
Namba to Koyasan,"November 27, 2025 8:00 AM (GMT)",Day 14,"Henry, Nanako",Osaka,Take the Nankai Limited Express to Gokurakubashi then cable car into the sacred mountain. Book Koya Limited Express seats via Nankai app 30 days ahead. Pack overnight bag only. Send main luggage back to Agora,4.2,"Needs Booking, Travel","Website: http://www.nankai.co.jp/
Maps: https://maps.google.com/?cid=6827252724861153154",Thursday
Kongobu-ji,"November 27, 2025 10:00 AM (GMT)",Day 14,"Henry, Nanako",Osaka,"Admire fusuma paintings and Banryutei rock garden at the head temple of Shingon Buddhism. 5min taxi from Koyasan Station. Entry ¥1,000 cash. Attend tea service if offered",4.5,Attractions,"Website: http://www.koyasan.or.jp/
Maps: https://maps.google.com/?cid=3067988105565081029",Thursday
Eko-in Temple,"November 27, 2025 3:00 PM (GMT)",Day 14,Henry,Osaka,"Settle into tatami room, join evening meditation, and savour plant-based kaiseki dinner. Book Eko-in with private bathroom. Arrive 3 PM for orientation. Shojin kaiseki dinner and evening meditation. 9 PM curfew. Participate in morning sutra chanting followed by goma fire ritual for safe travels. Arrive 10min early at main hall. Sit seiza or use stools. Write prayer tablets for upcoming Tokyo adventures",4.5,"Accommodation, Needs Booking","Website: http://www.ekoin.jp/
Maps: https://maps.google.com/?cid=17557195955039242223",Thursday
Okunoin,"November 27, 2025 8:00 PM (GMT)",Day 14,"Henry, Nanako",Osaka,"Join guided torchlit stroll through Okunoin cemetery to Torodo Hall under 10,000 lanterns. Meet at Eko-in lobby. Wear warm layers and comfortable shoes. Book English tour via temple concierge",4.8,Attractions,"Website: http://www.koyasan.or.jp/meguru/sights.html
Maps: https://maps.google.com/?cid=15489946718694438945",Thursday
Osaka Aquarium Kaiyukan,"November 26, 2025 4:00 PM (GMT)",Day 13,Henry,Osaka,"Marvel at whale sharks, jellyfish galaxy, and penguin habitats during evening lights. Book 4 PM tickets online. JR Loop to Bentencho then Chuo Line to Osakako. Check feeding times",4.4,"Attractions, Needs Booking","Website:
https://www.kaiyukan.com/

Maps:
https://maps.google.com/?cid=8035482904308493516",Wednesday
Tempozan Marketplace,"November 26, 2025 6:30 PM (GMT)",Day 13,Henry,Osaka,"Share kushikatsu, takoyaki, and dessert crepes beside the harbour lights. 3min walk from aquarium. Browse nautical souvenirs",3.9,Food,"Website:
http://www.kaiyukan.com/thv/marketplace/

Maps:
https://maps.google.com/?cid=7500308137477506974",Wednesday
Nozomi Express,"November 21, 2025 7:00 PM (GMT)",Day 8,"Henry, Nanako",Osaka,Ride Nozomi 20 from Shin-Osaka to Shinagawa with seasonal ekiben lunch and trip journaling. Book via SmartEX: Nozomi 20 from Shin-Osaka. Reserve car 12 for luggage space. Share live location with Nicole & Ken,4,"Needs Booking, Travel","Maps:
https://maps.google.com/?cid=4312131637787784911",Friday
Shibuya 109,,,Ken,Tokyo,"Browse Shibuya 109, uncover J-fashion collabs, and prep outfits for birthday party. Store luggage in hotel. Use tax-free counters with passport. Plan wishlist via Shibuya 109 app. Pick up matching accessories and limited-edition merch. Mall with trendy Japanese pop fashions. 10 floors of fashion. 10 AM-9 PM daily. Tax-free available",4,Shopping,"Website:
https://www.shibuya109.jp/

Maps:
https://maps.google.com/?cid=6170678451487891570",
Kaikaya by the Sea,,,"Henry, Ken, Nicole",Tokyo,"Celebrate reunion with creative seafood izakaya plates and sake flights. 10-minute walk from hotel. Bring cash for small dishes. Reserve tatami room for four. Note shellfish allergies. Surprise Ken with mini dessert. 5 PM–10:30 PM, close on Wed. Credit cards accepted",4.4,"Food, Needs Booking","Website: http://www.kaikaya.com/
Maps: https://maps.google.com/?cid=11972321199625134092",
Toyosu Market,"November 25, 2025 7:00 AM (GMT)",Day 12,"Henry, Ken, Nanako, Nicole",Tokyo,Queue early for Daiwa Sushi omakase and check rooftop gardens overlooking the bay. Arrive at 7 AM for counter seats. Some stalls take reservations. Grab souvenir knives for cooking friends,4.4,"Food, Needs Booking","Website:
https://www.instagram.com/daiwazushi/

Maps:
https://maps.google.com/?cid=7225947371004553622",Tuesday
Odaiba Seaside Park,"November 23, 2025 12:00 PM (GMT)",Day 10,Henry,Tokyo,"Stroll the waterfront, shop DiverCity, and ride the Daikanransha Ferris wheel at sunset. Waterfront stroll plus Ferris wheel at sunset. Yurikamome from Toyosu. DiverCity shopping plus Unicorn Gundam photo op",4.3,Attractions,"Website: http://www.senyo.co.jp/kasai/
Maps: https://maps.google.com/?cid=4053145678689472710",Sunday
Meiji Jingu,"November 22, 2025 9:00 AM (GMT)",Day 9,"Henry, Ken, Nanako, Nicole",Tokyo,"Walk the forested approach, offer ema, and pick omamori for friends. Enter via Harajuku South Gate. Cleanse at temizuya, offer ema, pick omamori for friends. Write wishes for work-life balance",4.6,Attractions,"Website: https://www.meijijingu.or.jp/
Maps: https://maps.google.com/?cid=10361244767556222835",Saturday
Cat Street,"November 22, 2025 12:00 PM (GMT)",Day 9,"Henry, James, Ken, Nicole, Phil",Tokyo,"Stroll Cat Street boutiques for indie fashion, vintage denim, and café pop-ups. Walk toward Omotesando. Stop by Ragtag and vintage sneaker shops. Plan 15:00 coffee stop at The Roastery by Nozy",,Shopping,"Maps:
https://maps.google.com/?cid=5056390973891085264",Saturday
Daikanyama T-Site,"November 22, 2025 11:00 AM (GMT)",Day 9,"Henry, James, Ken, Nicole, Phil",Tokyo,Sip slow-drip coffee among Tsutaya's curated stacks and vinyl corner. Walk 10 minutes from Shibuya or ride Tokyu Toyoko line. Reserve reading table via app if staying longer. Pick up photobooks,4.3,Food,"Website: https://store.tsite.jp/daikanyama/
Maps: https://maps.google.com/?cid=16984859993834332588",Saturday
Nakameguro,,,"Henry, James, Ken, Nicole, Phil",Tokyo,"Wander along the Meguro River lights, stopping for gelato and boutique shopping. Walk or train to Nakameguro Station. Check Blue Bottle for limited roast. Scout interior shops for apartment décor ideas",3.9,Attractions,"Website: http://www.city.meguro.tokyo.jp/shisetsu/shisetsu/koen/funairiba.html
Maps: https://maps.google.com/?cid=10070035784612226703",
Senso-ji,"November 25, 2025 6:00 AM (GMT)",Day 12,Henry,Tokyo,"Offer incense at Senso-ji before crowds, capture Nakamise empty, and draw omikuji. Take first Ginza Line train from Shibuya. Bring ¥100 coins for offerings. Grab ningyo-yaki for the shinkansen",4.5,Attractions,"Website:
https://www.senso-ji.jp/

Maps:
https://maps.google.com/?cid=7785923974874169613",Tuesday
Tokyo Skytree,"November 25, 2025 8:00 AM (GMT)",Day 12,"Henry, Nanako",Tokyo,Take in panoramic views and plan future adventures from the 350m deck. Book 8 AM entry online. Bring passport for discount. Fast Skytree ticket reduces queue time. Matcha sweets downstairs,4.4,"Attractions, Needs Booking","Website:
https://www.tokyo-skytree.jp/

Maps:
https://maps.google.com/?cid=9015449659807889194",Tuesday
Asakusaimahan,"November 25, 2025 12:00 PM (GMT)",Day 12,"Henry, Nanako",Tokyo,"Indulge in wagyu sukiyaki as farewell treat before hopping south. Book private room. 15min taxi from MIMARU. Medium-rare wagyu with extra raw egg for dipping. Toast to Osaka! Sukiyaki with marbled wagyu beef. 11 AM-10 PM. ¥3,000 sets. Credit cards accepted. Premium beef experience",4,"Food, Needs Booking","Website:
https://imahan-honten.co.jp/

Maps:
https://maps.google.com/?cid=13909133467795774038",Tuesday
Tokyo Character Street,"November 25, 2025 2:00 PM (GMT)",Day 12,"Henry, Nanako",Tokyo,"Grab limited NHK and Ghibli merch along the station basement arcade. Tokyo Station basement character shops. Use coin lockers. NHK shop for gifts, Doraemon sweets for Osaka friends. Inside Tokyo Station with stores for anime and manga character merchandise, official plushies. 10:00 AM - 8:30 PM",4.2,Shopping,"Website: https://e-shop.tokyoeki-1bangai.co.jp/
Maps: https://maps.google.com/?cid=1169765817995755207",Tuesday
Nozomi Express,"November 25, 2025 4:00 PM (GMT)",Day 12,"Henry, Nanako",Tokyo,Return to Shin-Osaka with matcha sweets and digital journaling of Tokyo memories. Book Nozomi 47 via SmartEX. Car 11 for quieter ride. Wave goodbye to Nicole & Ken at Tokyo Station first. Board Nozomi 273 back to Shin-Osaka with Tokyo Station bento feast and birthday countdown playlist planning. Depart Tokyo Station (arrive 22:13). Reserve seats in car 13 for luggage space. Use smartEX app,4.3,"Needs Booking, Travel","Website: https://www.tokyoinfo.com/
Maps: https://maps.google.com/?cid=11114180190203192",Tuesday
Osaka Station City,"November 15, 2025 1:30 PM (GMT)",Day 2,"Henry, Nanako",Osaka,Graze through bento stands and craft coffee before an artful afternoon. Keihan to Kitahama then walk. Rooftop seating with picnic vibes. Grazing lunch from multiple bento stands plus craft coffee. Check JR ticket office,4.1,Food,"Website:
https://www.lucua.jp/floormap/b2.html

Maps:
https://maps.google.com/?cid=3515048889585954420",Saturday
teamLab Botanical Garden,"November 26, 2025 7:00 PM (GMT)",Day 13,Henry,Osaka,"Return for alternate route through luminous installations with fresh perspectives. Book 7 PM slot for smaller weekday crowds. Focus on long-exposure photography. Different route through installations. Nighttime digital art woven through Nagai Botanical Garden with glowing eggs, mirrored ponds, and luminous bamboo groves. Book 2 months ahead! Subway Midosuji to Nagai. ¥1,800pp for 90min digital art wonderland. Weather dependent outdoor event",3.9,"Attractions, Needs Booking","Website: https://www.teamlab.art/jp/e/botanicalgarden/
Maps: https://maps.google.com/?cid=4949594704093356283",Wednesday
Himeji Castle,,,"Henry, Nanako",Osaka,Explore the White Heron Castle keep and Koko-en gardens before crowds. JR Special Rapid from Osaka to Himeji (1 hr). Arrive before gates open. Reserve e-tickets to skip queue. Pick up audio guide,4.6,"Attractions, Needs Booking","Website: https://www.city.himeji.lg.jp/castle/index.html
Maps: https://maps.google.com/?cid=8813417131136418225",
Afternoon Glam & Restock,"November 28, 2025 1:00 PM (GMT)",Day 15,"Henry, Ken, Nicole, Osaka",Osaka,"Set up décor, finalise playlist, and grab last-minute sweets at Daimaru. Divide tasks: Nana handles balloons, Henry prep tech, friends collect cake. Confirm cake delivery window. Check sound system cables and Polaroid film before guests arrive",4.1,Shopping,"Website:
https://www.daimaru.co.jp/shinsaibashi/?utm_source=google_map&utm_medium=social&utm_campaign=info&utm_content=01

Maps:
https://maps.google.com/?cid=12525137505886472735",Friday
Philosopher's Path,,,Henry,Kyoto,"Leisurely walk along the canal beneath amber leaves, stopping for craft boutiques and gelato. Start near Eikan-dō and head north. Peek into artisanal shops like Ginkaku-ji Seseragi. Grab seasonal gelato at Sfera Bar Satén en route. Leisurely canal walk under autumn leaves, stopping for craft boutiques and gelato",4.6,Attractions,"Maps:
https://maps.google.com/?cid=13093296689021343783",
Takamura Wine & Coffee,"November 30, 2025",Day 17,"Henry, Nanako",Osaka,Celebrate the journey with artisanal coffee cupping and light brunch in a lofted roastery. Taxi from W Osaka. Reserve tasting flight with seasonal beans. Book cupping session for two. Share highlight reel before heading to airport. Coffee cupping and light brunch in lofted roastery. 10min taxi from W Osaka. Book ahead for tasting flight. Ship wine via EMS. Pick up beans for home brewing,4.4,"Food, Needs Booking","Website:
http://takamuranet.com/

Maps:
https://maps.google.com/?cid=18436798584987103295",Sunday
Soosh Harajuku,,,,Tokyo,"Drop into Soosh for curated streetwear and accessory edits. Check Instagram for pop-up hours, typically inside Laforet. DM for personal styling slot if weekend. Good rainy-day filler",3.8,Shopping,"Website:
https://i-bloom-squishy.com/stores/mooosh-squishy-harajuku/

Maps:
https://maps.google.com/?cid=9447902076108220331",
Don Quijote,,,"James, Ken, Nicole, Phil",Osaka,"Stock up on J-beauty, sheet masks, and quirky gadgets late-night. Open 24h. Bring passport for tax-free counter. Plan 23:00 visit to avoid crowds. Target Anessa SPF, LuLuLun masks, and limited matcha kit",3.7,Shopping,"Website:
https://www.donki.com/store/shop_detail.php?shop_id=110

Maps:
https://maps.google.com/?cid=16446419638008461065",
Animate Ikebukuro,,,"James, Ken, Nicole, Phil",Tokyo,"Hunt anime figures, BL merch, and limited drops across eight floors. Near Ikebukuro East Exit. Use tax-free at level 8. Plan weekday visit for minimal queue. Pick up Ghibli & Genshin collab goods. Biggest anime store in Tokyo. 11 AM-8 PM",4.2,Shopping,"Website:
https://www.animate.co.jp/shop/ikebukuro/

Maps:
https://maps.google.com/?cid=5782044568649909786",
GiGO Shibuya,,,"James, Ken, Nicole, Phil",Tokyo,"Compete in rhythm games, claw machines, and photobooths. Located near Center-Gai. Use cash or IC for machines. Perfect rain alternative to outdoor plans",3,Attractions,"Website: https://tempo.gendagigo.jp/am/shibuya?utm_campaign=mov&utm_medium=GBP&utm_source=website-button
Maps: https://maps.google.com/?cid=13397189295327937443",
Cinnamoroll Cafe,,,,Tokyo,Pastel latte art and themed plates inside the Cinnamoroll dreamscape. Located in Shinjuku. Queue early for morning slots. Advance reservations via EPARK recommended. Collect seasonal merch for birthday gift bags,3.9,"Food, Needs Booking","Website: http://www.cinnamorollcafe.com/shinjuku/
Maps: https://maps.google.com/?cid=12163419718774346138",Monday
Genshin Impact Official Shop,,,"James, Ken, Nicole, Phil",Tokyo,Snag exclusive character drops and photo spots for Shin's fandom. Inside PARCO. Check reservation lottery during new releases. Use PARCO app to secure timed entry if new merch drop. Grab resin for cosplay upgrades and friend gifts,4.3,Shopping,"Website: https://shibuya.parco.jp/?utm_source=mybusiness
Maps: https://maps.google.com/?cid=1935335699422656795",
Ichiran Ramen,"November 23, 2025 10:00 PM (GMT)",Day 10,"James, Ken, Nanako, Nicole, Phil",Tokyo,"Post-party ramen fix with custom spice levels and solo booths. Tonkotsu ramen chain. 9 AM-6 AM. Private booth dining with custom spice levels. 24h operation. Try yuzu pepper toppings. Perfect after karaoke. Wind down with customisable tonkotsu ramen in private booths. Queue typically 15 minutes on weekdays. Use ticket machine to order. Bring cash/IC. Credit cards accepted. Experiment with spice level 6",4.4,Food,"Website:
https://ichiran.com/shop/tokyo/shibuya/

Maps:
https://maps.google.com/?cid=1092125928485198446",Sunday
MACCHA HOUSE Kyoto Kawaramachi,,,Ken,Kyoto,"Velvety matcha tiramisu and parfaits for sweet tooth afternoons. Near Kawaramachi Station. Queue ~20 minutes weekends. Join waitlist via tablet at entrance. Ideal after Philosopher's Path if weather turns. Matcha tea, coffee, ice cream, tiramisu. 11 AM-8 PM",3.8,Food,"Website: https://maccha-house.com/1174/
Maps: https://maps.google.com/?cid=12523229912634102181",
Imperial Palace East Gardens,,,"James, Ken, Nicole, Phil",Tokyo,Peaceful gardens with Edo Castle ruins—great midweek breather. Enter via Otemon Gate. Closed Mondays/Fridays. Free entry with bag check. Capture postcard for grandparents,4.4,Attractions,"Website: https://www.kunaicho.go.jp/event/higashigyoen/higashigyoen.html
Maps: https://maps.google.com/?cid=11752987696406660089",
